,R² Score,RMSE,MAE,Training Time (s),Score_Compuesto
XGBoost,0.9995051097977002,0.0047284855431525595,0.002319944585647466,0.0,0.9569851346259313
Neural Network,0.9992602138933344,0.005781236328951817,0.004021524215635735,0.0,0.9390991506801251
Random Forest,0.9975282067748472,0.010567535280272511,0.003679117300422393,0.0,0.9138096609556858
Linear Regression,0.9883600797229593,0.022932037354607946,0.014813615278081484,0.0,0.7628759768957578
SVR,0.9373153472987076,0.05321673792136848,0.043065869831223874,0.0,0.37492613891948307
